BLOOM_START,BLOOM_END,CULTIVAR_NAME
10/3/22,31/03/22,ATROPURPUREUM
20/04/22,10/5/22,KWANZAN
1/4/22,30/04/22,SPIRE
1/5/22,30/05/22,PINK PERFECTION
20/03/22,10/4/22,AKEBONO
20/04/22,10/5/22,PLENA
10/3/22,31/03/22,NIGRA
1/4/22,30/04/22,SCHUBERT
20/03/22,10/4/22,RANCHO
20/04/22,10/5/22,UKON
1/1/22,28/2/22,AUTUMNALIS
10/4/22,30/04/22,SHIROTAE
1/5/22,30/05/22,SHIROFUGEN
20/03/22,10/4/22,YOSHINO
10/3/22,31/03/22,PURPLE HAZE
10/3/22,31/03/22,THUNDERCLOUD
1/3/22,10/4/22,PENDULA
1/2/22,30/03/22,ACCOLADE
15/04/22,30/05/22,AMANOGAWA
1/2/22,30/03/22,WHITCOMBEI
20/03/22,10/4/22,COLUMNARE
20/04/22,10/5/22,MIKURUMA-GAESHI
1/4/22,30/04/22,BAILEY SELECT
10/4/22,30/04/22,TAI HAKU
1/5/22,30/05/22,SHOGETSU
1/4/22,20/04/22,SNOW GOOSE
1/4/22,30/04/22,KIKU SHIDARE ZAKURA
10/3/22,31/03/22,PURPUREA